benchmark,time,charge,mAh_total,mAh_cpu,mAh_wifi,energy_total,energy_cpu,energy_wifi
localLoginEncSharedPref-10000,1848.0,1.966,1.13,1.13,0.00111,7.997687999999999,7.997687999999999,0.007856136000000001
localLoginEncSharedPref-10000,2022.0,1.966,1.28,1.28,0.00111,9.059328,9.059328,0.007856136000000001
localLoginEncSharedPref-10000,2072.0,1.966,1.25,1.25,0.00111,8.847,8.847,0.007856136000000001
localLoginEncSharedPref-10000,2117.0,1.966,1.31,1.3,0.00111,9.271656,9.200880000000002,0.007856136000000001
localLoginEncSharedPref-10000,1844.0,1.966,1.09,1.09,0.00111,7.714584,7.714584,0.007856136000000001
localLoginEncSharedPref-10000,1885.0,1.966,1.11,1.11,0.00111,7.856136000000001,7.856136000000001,0.007856136000000001
localLoginEncSharedPref-10000,2089.0,1.966,1.35,1.35,0.00111,9.55476,9.55476,0.007856136000000001
localLoginEncSharedPref-10000,2025.0,1.966,1.31,1.31,0.00111,9.271656,9.271656,0.007856136000000001
localLoginEncSharedPref-10000,2062.0,1.966,1.32,1.32,0.00111,9.342432,9.342432,0.007856136000000001
localLoginEncSharedPref-10000,2128.0,1.966,1.28,1.28,0.00111,9.059328,9.059328,0.007856136000000001
localLoginEncSharedPref-10000,2077.0,1.966,1.3,1.3,0.00111,9.200880000000002,9.200880000000002,0.007856136000000001
localLoginEncSharedPref-50000,7296.0,1.877,4.16,4.16,0.00167,28.109952000000003,28.109952000000003,0.011284524
localLoginEncSharedPref-50000,7431.0,1.922,4.03,4.03,0.00167,27.884376,27.884376,0.011555064
localLoginEncSharedPref-50000,7355.0,1.922,4.22,4.22,0.0016,29.199023999999998,29.199023999999998,0.011070720000000001
localLoginEncSharedPref-50000,7598.0,1.922,4.11,4.11,0.00167,28.437912,28.437912,0.011555064
localLoginEncSharedPref-50000,7576.0,1.922,4.16,4.16,0.00167,28.783872000000002,28.783872000000002,0.011555064
localLoginEncSharedPref-50000,7575.0,1.922,4.2,4.2,0.00167,29.06064,29.06064,0.011555064
localLoginEncSharedPref-50000,7427.0,1.922,4.11,4.11,0.00167,28.437912,28.437912,0.011555064
localLoginEncSharedPref-50000,7451.0,1.922,4.15,4.15,0.0016,28.71468,28.71468,0.011070720000000001
localLoginEncSharedPref-50000,7411.0,1.922,4.07,4.07,0.0013,28.161144,28.161144,0.00899496
localLoginEncSharedPref-50000,7481.0,1.922,4.16,4.16,0.00167,28.783872000000002,28.783872000000002,0.011555064
localLoginEncSharedPref-50000,7395.0,1.922,4.18,4.18,0.0016,28.922255999999997,28.922255999999997,0.011070720000000001
localLoginEncSharedPref-50000,7512.0,1.922,4.17,4.16,0.00167,28.853064,28.783872000000002,0.011555064
localLoginEncSharedPref-50000,7598.0,1.877,4.2,4.2,0.00167,28.38024,28.38024,0.011284524
localLoginEncSharedPref-50000,7554.0,1.877,4.22,4.21,0.0016,28.515384,28.447812000000003,0.010811520000000002
localLoginEncSharedPref-50000,7392.0,1.877,4.13,4.13,0.0016,27.907236,27.907236,0.010811520000000002
localLoginEncSharedPref-50000,7448.0,1.877,4.12,4.12,0.00154,27.839664000000003,27.839664000000003,0.010406087999999999
localLoginEncSharedPref-50000,7541.0,1.877,4.13,4.13,0.0016,27.907236,27.907236,0.010811520000000002
localLoginEncSharedPref-50000,7406.0,1.877,4.16,4.16,0.00179,28.109952000000003,28.109952000000003,0.012095388
localLoginEncSharedPref-50000,7273.0,1.877,4.08,4.08,0.0016,27.569376000000002,27.569376000000002,0.010811520000000002
localLoginEncSharedPref-50000,7526.0,1.877,4.12,4.12,0.00167,27.839664000000003,27.839664000000003,0.011284524
localLoginEncSharedPref-50000,7352.0,1.877,4.07,4.07,0.00185,27.501804000000003,27.501804000000003,0.012500820000000001
localLoginEncSharedPref-50000,7433.0,1.877,4.07,4.07,0.0016,27.501804000000003,27.501804000000003,0.010811520000000002
localLoginEncSharedPref-50000,7442.0,1.877,4.21,4.21,0.0016,28.447812000000003,28.447812000000003,0.010811520000000002
localLoginEncSharedPref-50000,7264.0,1.877,4.03,4.03,0.0016,27.231516000000003,27.231516000000003,0.010811520000000002
localLoginEncSharedPref-50000,7434.0,1.877,4.15,4.14,0.00167,28.04238,27.974808,0.011284524
localLoginEncSharedPref-50000,7528.0,1.877,4.13,4.13,0.00167,27.907236,27.907236,0.011284524
localLoginEncSharedPref-1000,576.0,2.011,0.37,0.369,0.00111,2.6786520000000005,2.6714124000000004,0.008035956000000002
localLoginEncSharedPref-1000,526.0,2.011,0.38,0.379,0.00111,2.7510480000000004,2.7438084000000003,0.008035956000000002
localLoginEncSharedPref-1000,739.0,2.011,0.351,0.35,0.00123,2.5410996000000003,2.5338600000000002,0.008904707999999999
localLoginEncSharedPref-1000,632.0,2.011,0.344,0.342,0.00111,2.4904224,2.4759432,0.008035956000000002
localLoginEncSharedPref-1000,600.0,2.011,0.381,0.38,0.00111,2.7582876000000005,2.7510480000000004,0.008035956000000002
localLoginEncSharedPref-1000,584.0,2.011,0.397,0.396,0.00111,2.8741212000000003,2.8668816000000006,0.008035956000000002
localLoginEncSharedPref-1000,646.0,2.011,0.398,0.397,0.00111,2.8813608000000004,2.8741212000000003,0.008035956000000002
localLoginEncSharedPref-1000,605.0,2.011,0.381,0.38,0.00111,2.7582876000000005,2.7510480000000004,0.008035956000000002
localLoginEncSharedPref-1000,549.0,2.011,0.355,0.354,0.00111,2.5700580000000004,2.5628184000000003,0.008035956000000002
